team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Giants,NYG,15,WR,554173774,Jalin Hyatt,4,0,2219,13,4,24.90,2,2,0,6,0,0,0,11,0.00,5.50,0.58
Giants,NYG,15,HB,554174802,Brian Robinson Jr,5,0,1918,31,16,60.10,80,17,2,19,6,0,80,357,5.00,4.46,18.88
Giants,NYG,15,TE,554172611,Daniel Bellinger,5,0,1168,82,2,3.90,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,WR,554172583,Rashod Bateman,6,0,1236,7,10,58.40,6,8,1,7,1,0,1,20,0.10,3.33,2.06
Giants,NYG,15,HB,554173126,A.J. Dillon,7,0,716,26,2,7.80,2,0,0,11,1,0,4,18,2.00,9.00,8.50
Jaguars,JAX,16,QB,554172535,Jon McDermott,1,0,4227,19,1,0.08,1,3,0,3,0,0,1,3,1.00,3.00,0.38
Jaguars,JAX,16,HB,554174287,Tremaine Robertson,1,17,3704,7,6,0.00,11,3,1,5,0,0,0,18,0.00,1.64,1.23
Jaguars,JAX,16,TE,554175181,Colin Keller,2,0,3370,81,2,7.50,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,WR,554173742,Ralph Choice,3,0,3857,18,3,17.90,1,2,0,5,0,0,0,5,0.00,5.00,0.52
Jaguars,JAX,16,TE,554175106,Brenton Strange,4,0,2415,85,1,1.70,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,HB,554172634,Tank Bigsby,4,0,2539,4,13,32.60,60,11,0,8,4,0,16,168,1.23,2.80,9.03
Jaguars,JAX,16,TE,554174563,Cade Otton,5,0,1872,82,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,HB,554173242,Travis Etienne Jr,6,0,1365,1,17,90.10,214,43,0,33,9,2,90,926,5.29,4.33,64.49
Jaguars,JAX,16,QB,554174097,Trevor Lawrence,6,0,1372,16,16,119.02,73,8,0,10,3,0,7,335,0.44,4.59,13.37
Jaguars,JAX,16,FB,554172650,Khari Blasingame,8,0,100,38,2,-0.20,2,0,0,2,0,0,0,-2,0.00,-1.00,0.07
Jaguars,JAX,16,WR,554174037,Christian Kirk,9,0,8963,13,2,5.70,2,2,0,0,0,0,1,-1,0.50,-0.50,-0.56
Jaguars,JAX,16,HB,554174370,Joe Mixon,10,0,9241,20,1,1.70,5,3,0,23,0,1,19,46,19.00,9.20,23.00
Jaguars,JAX,16,WR,554172695,Tyler Boyd,10,0,7903,83,6,7.20,6,1,0,7,1,0,0,26,0.00,4.33,2.39
Jaguars,JAX,16,WR,554172467,Keenan Allen,13,0,5654,84,3,29.10,4,0,0,5,0,0,0,7,0.00,1.75,0.85
Jets,NYJ,17,HB,554174723,Derion Swann,2,0,3808,4,2,1.10,7,0,0,13,0,0,7,20,3.50,2.86,2.05
Jets,NYJ,17,HB,554174607,Carl McGee,3,0,3858,15,4,12.80,18,3,0,16,0,0,30,110,7.50,6.11,11.09
Jets,NYJ,17,WR,554174464,Sam McCoy,3,0,3824,86,3,13.00,2,1,0,5,0,0,0,2,0.00,1.00,0.38
