team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Texans,HOU,31,TE,551029543,Darnell Washington,2,0,2453,80,12,27.10,24,81.37,7,35,2,114,298,4.75,12.42,17.53
Texans,HOU,31,HB,551028557,Keaton Mitchell,2,0,4736,34,8,40.50,14,95.83,1,18,2,98,89,7.00,6.36,5.24
Texans,HOU,31,WR,551028649,Puka Nacua,2,0,4785,86,17,151.60,81,92.75,6,60,15,366,1249,4.52,15.42,73.47
Texans,HOU,31,TE,551027836,Peyton Hendershot,3,0,1763,89,1,2.60,2,100.00,0,16,0,6,26,3.00,13.00,1.53
Texans,HOU,31,WR,551027387,Romeo Doubs,3,0,1471,87,11,64.60,39,97.19,2,59,5,227,677,5.82,17.36,45.13
Texans,HOU,31,WR,551029501,Jaylen Waddle,4,0,1374,17,14,177.50,67,97.38,2,75,16,366,1250,5.46,18.66,89.29
Texans,HOU,31,WR,551028401,Terrace Marshall Jr,4,0,1081,85,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,0.00
Texans,HOU,31,HB,551029299,D'Andre Swift,5,0,599,4,14,63.60,32,94.05,3,20,2,161,215,5.03,6.72,15.36
Texans,HOU,31,TE,551027490,Gerald Everett,8,0,8549,14,13,56.50,48,84.73,10,68,5,314,679,6.54,14.15,39.94
Texans,HOU,31,FB,551027747,C.J. Ham,9,0,9195,30,3,9.30,4,100.00,0,12,1,25,33,6.25,8.25,1.94
Texans,HOU,31,WR,551029343,Adam Thielen,12,0,6913,19,2,14.60,4,100.00,0,30,1,38,86,9.50,21.50,6.14
Texans,HOU,31,WR,551026739,Keenan Allen,12,0,5654,88,17,55.20,67,94.12,3,61,6,241,747,3.60,11.15,43.94
Titans,TEN,29,WR,551029671,Michael Wilson,2,0,2480,14,7,43.40,21,87.02,4,34,3,75,254,3.57,12.10,28.22
Titans,TEN,29,WR,551028107,Quentin Johnston,2,0,2241,1,13,51.70,38,91.21,3,36,2,142,546,3.74,14.37,44.20
Titans,TEN,29,TE,551028271,Sam LaPorta,2,0,2286,87,16,86.00,75,88.54,10,66,2,362,1111,4.83,14.81,65.35
Titans,TEN,29,WR,551028729,Chris Olave,3,0,1870,12,17,105.50,84,87.66,14,61,10,378,1225,4.50,14.58,72.06
Titans,TEN,29,HB,551029508,Kenneth Walker III,3,0,2005,9,16,45.70,52,96.88,1,46,1,268,375,5.15,7.21,22.06
Titans,TEN,29,HB,551026742,Tyler Allgeier,3,0,1132,24,5,16.10,5,86.67,2,34,1,77,95,15.40,19.00,6.79
Titans,TEN,29,HB,551028555,Elijah Mitchell,4,0,1177,38,2,4.20,5,100.00,0,16,0,25,42,5.00,8.40,2.47
Titans,TEN,29,WR,551028042,Justin Jefferson,5,0,385,84,6,20.70,22,89.82,2,27,2,65,280,2.95,12.73,60.89
Titans,TEN,29,TE,551029056,Drew Sample,6,0,9617,81,4,9.30,6,100.00,0,8,1,16,33,2.67,5.50,1.94
Titans,TEN,29,TE,551026767,Mark Andrews,7,0,8802,83,16,64.30,47,90.49,9,37,2,254,615,5.40,13.09,36.18
Titans,TEN,29,WR,551027223,Brandin Cooks,11,0,6386,3,9,17.90,15,96.30,1,32,0,62,192,4.13,12.80,11.29
Vikings,MIN,30,HB,551026730,Braelon Allen,1,0,9996,0,11,57.60,17,96.97,1,34,0,135,179,7.94,10.53,11.93
Vikings,MIN,30,TE,551026956,Brock Bowers,1,0,10018,89,17,86.40,65,91.72,7,75,7,461,1101,7.09,16.94,64.77
Vikings,MIN,30,HB,551028279,Dylan Laube,1,0,10151,38,2,0.20,2,100.00,0,3,0,3,5,1.50,2.50,0.29
Vikings,MIN,30,WR,551029603,Dontayvion Wicks,2,0,2476,13,3,3.90,4,66.67,1,24,0,17,75,4.25,18.75,4.41
Vikings,MIN,30,WR,551028527,John Metchie III,3,0,1851,8,14,51.50,33,87.25,4,44,4,140,409,4.24,12.39,24.06
Vikings,MIN,30,WR,551029177,DeVonta Smith,4,0,1369,6,16,89.10,78,89.14,8,62,8,308,1124,3.95,14.41,66.12
Vikings,MIN,30,HB,551027637,Antonio Gibson,5,0,297,21,10,40.20,23,95.00,2,33,2,175,253,7.61,11.00,14.88
Vikings,MIN,30,WR,551029058,Deebo Samuel Sr,6,0,9618,1,17,82.00,63,95.04,4,71,5,395,1147,6.27,18.21,67.47
Vikings,MIN,30,FB,551027088,Jason Cabinda,7,0,8831,45,1,6.30,1,100.00,0,3,1,0,3,0.00,3.00,0.18
Vikings,MIN,30,TE,551029360,Logan Thomas,11,0,6610,48,2,17.20,3,75.00,1,75,1,62,112,20.67,37.33,6.59
