team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Jaguars,JAX,16,WR,551029548,Parker Washington,2,0,2454,89,4,0.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,WR,551028107,Quentin Johnston,2,0,2241,1,3,0.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,QB,551028314,Will Levis,2,37,7889,8,3,2.60,13,1,1,18,0,0,18,46,6.00,3.54,15.33
Jaguars,JAX,16,QB,551027938,Sam Howell,3,0,1770,10,2,34.58,4,3,1,10,1,0,15,31,7.50,7.75,5.38
Jaguars,JAX,16,TE,551028439,Trey McBride,3,0,1830,85,5,16.90,0,6,1,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,WR,551029011,Amari Rodgers,4,0,1263,87,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,HB,551029101,Trey Sermon,4,0,1321,32,1,-0.20,1,0,0,0,0,0,0,-2,0.00,-2.00,-0.40
Jaguars,JAX,16,HB,551027439,Clyde Edwards-Helaire,5,0,271,25,8,18.40,28,3,0,22,2,1,27,113,3.38,4.04,6.65
Jaguars,JAX,16,WR,551028042,Justin Jefferson,5,0,385,84,7,26.80,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Jaguars,JAX,16,WR,551029292,Courtland Sutton,7,0,9072,14,5,10.80,4,3,0,8,0,0,0,19,0.00,4.75,1.12
Jaguars,JAX,16,TE,551027633,Mike Gesicki,7,0,8900,88,7,29.40,4,11,0,4,0,0,3,6,0.43,1.50,0.35
Jaguars,JAX,16,WR,551028921,Kalif Raymond,8,0,8402,11,8,-1.40,3,9,1,7,0,0,0,6,0.00,2.00,0.35
Jaguars,JAX,16,WR,551027361,Stefon Diggs,10,0,7085,87,8,100.20,2,11,1,6,0,0,1,11,0.13,5.50,0.73
Jaguars,JAX,16,QB,551027536,Joe Flacco,16,0,1115,1,4,68.00,10,0,1,5,0,0,0,5,0.00,0.50,0.38
Jaguars,JAX,16,QB,551029010,Aaron Rodgers,19,0,6299,12,10,130.24,27,0,2,16,0,0,2,50,0.20,1.85,4.17
Jets,NYJ,17,QB,551028964,Anthony Richardson,2,0,2609,5,17,143.76,93,16,2,24,5,1,52,323,3.06,3.47,19.00
Jets,NYJ,17,WR,551027388,Demario Douglas,2,0,3083,3,13,66.30,7,18,0,5,0,0,1,12,0.08,1.71,0.71
Jets,NYJ,17,WR,551027393,Josh Downs,2,0,2117,88,8,33.10,1,15,0,5,1,0,0,5,0.00,5.00,0.33
Jets,NYJ,17,TE,551028163,Brevin Jordan,4,0,1379,83,1,2.60,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,HB,551027850,Khalil Herbert,4,0,1245,25,8,0.10,16,10,1,8,0,0,6,38,0.75,2.38,2.24
Jets,NYJ,17,HB,551027477,Travis Etienne Jr,4,0,1365,1,17,77.30,199,52,3,70,7,2,233,803,13.71,4.04,47.24
Jets,NYJ,17,WR,551026791,Tutu Atwell,4,0,1315,87,1,-2.00,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,QB,551027039,Jake Browning,5,0,9399,4,4,19.18,9,0,0,5,0,0,0,6,0.00,0.67,0.38
Jets,NYJ,17,WR,551027008,A.J. Brown,6,0,9397,11,8,15.10,0,8,1,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,TE,551028595,Foster Moreau,6,0,9579,85,4,0.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,TE,551027468,Evan Engram,8,0,8545,3,6,31.00,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Jets,NYJ,17,TE,551027030,Pharaoh Brown,8,0,8493,89,4,0.00,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,HB,551027721,Isaac Guerendo,1,0,10091,26,12,10.60,33,27,1,34,4,1,38,131,3.17,3.97,7.71
Lions,DET,18,WR,551027068,Jermaine Burton,1,0,10026,81,2,6.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,HB,551029418,Tyrone Tracy Jr,1,0,10268,33,8,-2.80,5,9,2,5,0,0,3,-3,0.38,-0.60,-0.18
Lions,DET,18,HB,551028990,Bijan Robinson,2,0,2613,5,17,140.10,224,62,4,41,8,7,327,1011,19.24,4.51,59.47
Lions,DET,18,WR,551028962,Rashee Rice,2,0,2366,85,3,23.50,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,TE,551029706,Jelani Woods,3,0,2050,87,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,WR,551027150,Ja'Marr Chase,4,0,1370,1,7,40.10,2,12,0,12,0,0,2,15,0.29,7.50,1.07
Lions,DET,18,WR,551027203,Nico Collins,4,0,1148,12,8,58.80,0,9,1,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,TE,551028232,Cole Kmet,5,0,711,87,5,33.70,0,7,0,0,1,0,0,0,0.00,0.00,0.00
Lions,DET,18,QB,551028353,Jordan Love,5,0,433,10,10,146.40,20,3,5,7,1,0,1,-2,0.10,-0.10,-0.12
Lions,DET,18,WR,551027725,Jalen Guyton,6,0,313,83,1,0.40,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,QB,551029592,Mike White,8,0,9113,8,1,24.00,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,WR,551027884,Tyreek Hill,9,0,8052,2,8,87.20,0,18,3,0,0,0,0,0,0.00,0.00,0.00
Lions,DET,18,FB,551027069,Michael Burton,10,0,7034,20,1,0.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,QB,551027283,Jayden Daniels,1,0,10048,5,17,237.72,70,8,8,20,5,2,109,343,6.41,4.90,20.18
Packers,GB,19,WR,551027197,Keon Coleman,1,0,10038,0,13,61.00,1,26,3,4,0,0,0,4,0.00,4.00,0.24
Packers,GB,19,WR,551028441,Luke McCaffrey,1,0,10166,12,8,30.90,0,23,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,HB,551026903,Tank Bigsby,2,0,2539,26,7,5.60,14,13,0,10,0,0,14,56,2.00,4.00,3.29
Packers,GB,19,HB,551027221,James Cook,3,0,1304,4,14,76.30,161,42,4,56,3,6,258,776,18.43,4.82,55.43
Packers,GB,19,HB,551027483,Darrynton Evans,5,0,276,28,7,-2.00,0,7,1,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,WR,551027871,Tee Higgins,5,0,351,81,8,53.00,0,10,1,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,TE,551028237,Dawson Knox,6,0,9546,88,3,5.00,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,WR,551028289,Allen Lazard,7,0,8969,10,3,15.60,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Packers,GB,19,TE,551028229,George Kittle,8,0,8622,85,14,104.00,1,26,2,3,1,0,0,3,0.00,3.00,0.18
Packers,GB,19,HB,551027214,James Conner,8,0,8515,6,12,10.10,53,26,1,34,2,1,117,234,9.75,4.42,13.77
Panthers,CAR,20,QB,551028677,Bo Nix,1,0,10195,10,11,122.20,36,1,0,8,0,0,1,76,0.09,2.11,4.47
